"Data","Último","Abertura","Máxima","Mínima","Var%"
"Jan 12","1,7472","1,8665","1,8754","1,7321","-6,23%"
"Dez 11","1,8632","1,8083","1,8884","1,7755","3,04%"
"Nov 11","1,8083","1,7172","1,9140","1,7130","5,31%"
"Out 11","1,7172","1,8777","1,9175","1,6711","-8,61%"
"Set 11","1,8790","1,5892","1,9498","1,5886","18,24%"
"Ago 11","1,5892","1,5501","1,6585","1,5450","2,60%"
"Jul 11","1,5490","1,5621","1,5854","1,5280","-0,84%"
"Jun 11","1,5622","1,5788","1,6163","1,5573","-1,13%"
"Mai 11","1,5800","1,5770","1,6457","1,5685","0,16%"
"Abr 11","1,5775","1,6318","1,6318","1,5565","-3,34%"
"Mar 11","1,6320","1,6640","1,6932","1,6205","-1,91%"
"Fev 11","1,6638","1,6672","1,6806","1,6553","-0,22%"
"Jan 11","1,6675","1,6598","1,6967","1,6433","0,48%"
"Dez 10","1,6596","1,7138","1,7220","1,6592","-3,23%"
"Nov 10","1,7150","1,7012","1,7428","1,6685","0,81%"
"Out 10","1,7012","1,6876","1,7252","1,6433","0,81%"
"Set 10","1,6876","1,7549","1,7593","1,6855","-3,84%"
"Ago 10","1,7550","1,7541","1,7821","1,7431","0,06%"
"Jul 10","1,7540","1,8052","1,8138","1,7495","-2,77%"
"Jun 10","1,8039","1,8195","1,8823","1,7488","-0,88%"
"Mai 10","1,8200","1,7372","1,9160","1,7252","4,75%"
"Abr 10","1,7375","1,7832","1,7932","1,7225","-2,58%"
"Mar 10","1,7836","1,8058","1,8302","1,7563","-1,31%"
"Fev 10","1,8072","1,8684","1,8980","1,7874","-4,13%"
"Jan 10","1,8850","1,7291","1,8971","1,7138","8,15%"
"Dez 09","1,7430","1,7497","1,8011","1,6995","-0,71%"
"Nov 09","1,7555","1,7635","1,7805","1,6930","-0,45%"
"Out 09","1,7635","1,7720","1,8074","1,6970","-0,45%"
"Set 09","1,7715","1,8791","1,9218","1,7589","-5,78%"
"Ago 09","1,8802","1,8655","1,9053","1,8071","0,82%"
"Jul 09","1,8650","1,9525","2,0280","1,8610","-4,48%"
"Jun 09","1,9525","1,9715","2,0383","1,9083","-0,96%"
"Mai 09","1,9715","2,1898","2,1898","1,9650","-9,97%"
"Abr 09","2,1898","2,3170","2,3175","2,1585","-5,49%"
"Mar 09","2,3169","2,3906","2,4505","2,2151","-3,12%"
"Fev 09","2,3914","2,3222","2,4085","2,2277","3,08%"
"Jan 09","2,3200","2,3317","2,4010","2,1585","0,24%"
"Dez 08","2,3145","2,3045","2,6218","2,2834","0,48%"
"Nov 08","2,3035","2,1648","2,4787","2,0878","6,44%"
"Out 08","2,1642","1,9035","2,5305","1,8951","13,51%"
"Set 08","1,9066","1,6422","1,9687","1,6398","16,97%"
"Ago 08","1,6300","1,5610","1,6493","1,5551","4,02%"
"Jul 08","1,5670","1,6039","1,6211","1,5603","-2,31%"
"Jun 08","1,6041","1,6260","1,6522","1,5880","-1,38%"
"Mai 08","1,6265","1,6617","1,7055","1,6241","-2,15%"
"Abr 08","1,6622","1,7559","1,7605","1,6471","-5,36%"
"Mar 08","1,7564","1,6910","1,7651","1,6590","3,84%"
"Fev 08","1,6914","1,7590","1,7820","1,6612","-3,83%"
"Jan 08","1,7588","1,7795","1,8407","1,7285","-1,19%"
"Dez 07","1,7800","1,7901","1,8320","1,7500","-1,01%"
"Nov 07","1,7982","1,7368","1,8723","1,7247","3,54%"
"Out 07","1,7368","1,8325","1,8480","1,7292","-5,25%"
"Set 07","1,8330","1,9610","1,9765","1,8300","-6,86%"
"Ago 07","1,9681","1,8823","2,1396","1,8655","4,57%"
"Jul 07","1,8820","1,9260","1,9440","1,8365","-2,44%"
"Jun 07","1,9290","1,9287","1,9910","1,8945","0,44%"
"Mai 07","1,9205","2,0350","2,0365","1,9165","-5,62%"
"Abr 07","2,0348","2,0600","2,0600","2,0130","-1,18%"
"Mar 07","2,0590","2,1175","2,1520","2,0247","-2,90%"
"Fev 07","2,1204","2,1238","2,1500","2,0638","-0,17%"
"Jan 07","2,1240","2,1367","2,1627","2,1212","-0,59%"
"Dez 06","2,1365","2,1645","2,1745","2,1302","-1,32%"
"Nov 06","2,1650","2,1430","2,2040","2,1307","1,04%"
"Out 06","2,1428","2,1680","2,1800","2,1220","-1,45%"
"Set 06","2,1743","2,1520","2,2370","2,1217","1,44%"
"Ago 06","2,1434","2,1756","2,1985","2,1215","-1,57%"
"Jul 06","2,1775","2,1605","2,2256","2,1545","0,54%"
"Jun 06","2,1659","2,3215","2,3355","2,1535","-6,04%"
"Mai 06","2,3051","2,0870","2,4045","2,0500","10,45%"
"Abr 06","2,0870","2,1658","2,1765","2,0830","-3,56%"
"Mar 06","2,1640","2,1315","2,2458","2,0965","1,91%"
"Fev 06","2,1235","2,2120","2,2405","2,1015","-4,00%"
"Jan 06","2,2120","2,3335","2,3540","2,1960","-5,40%"
"Dez 05","2,3383","2,2039","2,4005","2,1585","6,12%"
"Nov 05","2,2035","2,2505","2,2685","2,1525","-2,14%"
"Out 05","2,2518","2,2355","2,3045","2,2215","1,09%"
"Set 05","2,2275","2,3550","2,3735","2,2060","-5,43%"
"Ago 05","2,3555","2,3850","2,4590","2,2629","-1,03%"
"Jul 05","2,3800","2,3364","2,5127","2,3210","1,87%"
"Jun 05","2,3364","2,3992","2,5060","2,3310","-3,03%"
"Mai 05","2,4095","2,5282","2,5300","2,3630","-4,70%"
"Abr 05","2,5282","2,6660","2,6775","2,5060","-5,66%"
"Mar 05","2,6800","2,5980","2,7858","2,5870","3,49%"
"Fev 05","2,5895","2,6085","2,6525","2,5490","-0,74%"
"Jan 05","2,6088","2,6610","2,7340","2,6055","-1,78%"
"Dez 04","2,6560","2,7170","2,8050","2,6460","-2,35%"
"Nov 04","2,7200","2,8580","2,8730","2,7140","-4,87%"
"Out 04","2,8592","2,8600","2,8950","2,8050","-0,01%"
"Set 04","2,8595","2,9295","2,9435","2,8465","-2,31%"
"Ago 04","2,9270","3,0360","3,0780","2,9220","-3,64%"
"Jul 04","3,0375","3,0865","3,0875","2,9885","-1,57%"
"Jun 04","3,0860","3,1850","3,1710","3,0860","-3,23%"
"Mai 04","3,1890","2,9330","3,2340","2,9420","8,80%"
"Abr 04","2,9310","2,8920","2,9690","2,8670","1,21%"
"Mar 04","2,8960","2,9020","2,9470","2,8580","-0,34%"
"Fev 04","2,9060","2,9270","3,0110","2,8950","-0,97%"
"Jan 04","2,9345","2,8975","2,9730","2,7665","1,49%"
"Dez 03","2,8915","2,9425","2,9525","2,8525","-1,87%"
"Nov 03","2,9465","2,8675","2,9725","2,8445","2,79%"
"Out 03","2,8665","2,8915","2,9195","2,8155","-0,90%"
"Set 03","2,8925","2,9815","3,0005","2,8615","-2,89%"
"Ago 03","2,9785","2,9625","3,0695","2,9355","0,37%"
"Jul 03","2,9675","2,8415","2,9875","2,8025","4,60%"
"Jun 03","2,8370","2,9650","2,9940","2,8000","-4,59%"
"Mai 03","2,9735","2,9115","3,0875","2,8435","2,15%"
